City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-02-03 02:25:00,19.7297,-155.09,77.25,78,100,11.5
1,Ushuaia,AR,2022-02-03 02:20:33,-54.8,-68.3,42.46,61,75,20.71
2,Rikitea,PF,2022-02-03 02:21:43,-23.1203,-134.9692,78.55,74,89,8.79
3,Lingao,CN,2022-02-03 02:25:01,19.9103,109.6859,58.03,87,100,9.51
4,East London,ZA,2022-02-03 02:25:01,-33.0153,27.9116,73.96,93,99,7.87
5,Mataura,NZ,2022-02-03 02:25:02,-46.1927,168.8643,58.48,83,100,4.52
6,Ishim,RU,2022-02-03 02:25:02,56.1128,69.4902,9.73,97,79,7.7
7,Filingue,NE,2022-02-03 02:25:02,14.3521,3.3168,64.18,14,0,9.91
8,Jamestown,US,2022-02-03 02:25:03,42.097,-79.2353,38.52,60,100,4.0
9,Kapaa,US,2022-02-03 02:25:03,22.0752,-159.319,79.12,68,0,1.01
10,Lorengau,PG,2022-02-03 02:20:32,-2.0226,147.2712,78.22,84,100,7.58
11,Khatanga,RU,2022-02-03 02:24:14,71.9667,102.5,-35.68,99,35,2.19
12,Srednekolymsk,RU,2022-02-03 02:25:04,67.45,153.6833,-22.5,98,100,2.04
13,Hasaki,JP,2022-02-03 02:20:45,35.7333,140.8333,50.29,40,100,8.88
14,Pevek,RU,2022-02-03 02:25:04,69.7008,170.3133,-6.36,73,2,3.91
15,Nikolskoye,RU,2022-02-03 02:25:04,59.7035,30.7861,17.49,100,94,1.63
16,Hobart,AU,2022-02-03 02:25:05,-42.8794,147.3294,63.05,76,75,4.0
17,Khudumelapye,BW,2022-02-03 02:25:05,-23.8833,24.75,73.87,67,90,5.66
18,Awbari,LY,2022-02-03 02:25:06,26.5921,12.7805,42.46,49,0,8.77
19,Norman Wells,CA,2022-02-03 02:25:06,65.282,-126.8329,-27.36,68,75,2.3
20,Kasongo-Lunda,CD,2022-02-03 02:25:06,-6.4667,16.8167,69.3,98,100,0.74
21,Castro,BR,2022-02-03 02:25:07,-24.7911,-50.0119,63.0,98,2,6.06
22,Hithadhoo,MV,2022-02-03 02:25:07,-0.6,73.0833,81.36,70,8,3.27
23,Coihaique,CL,2022-02-03 02:25:07,-45.5752,-72.0662,58.95,77,100,6.91
24,Coari,BR,2022-02-03 02:25:08,-4.085,-63.1414,74.12,98,100,2.44
25,Cabo San Lucas,MX,2022-02-03 02:21:13,22.8909,-109.9124,71.51,69,100,1.99
26,Wawa,NG,2022-02-03 02:25:08,9.9022,4.4192,71.91,20,28,7.43
27,Hovd,MN,2022-02-03 02:24:36,48.0056,91.6419,-5.73,96,89,1.77
28,Molteno,ZA,2022-02-03 02:25:09,-31.3968,26.3625,62.96,91,51,7.34
29,Punta Arenas,CL,2022-02-03 02:25:09,-53.15,-70.9167,46.51,76,75,5.75
30,Dickson,US,2022-02-03 02:25:09,36.077,-87.3878,53.94,82,100,1.99
31,Lompoc,US,2022-02-03 02:25:10,34.6391,-120.4579,57.51,52,0,12.66
32,Lebu,CL,2022-02-03 02:25:10,-37.6167,-73.65,59.9,89,83,10.45
33,Kodiak,US,2022-02-03 02:25:10,57.79,-152.4072,38.71,87,100,13.8
34,Kathmandu,NP,2022-02-03 02:25:11,27.7167,85.3167,41.22,100,20,3.44
