City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Rikitea,PF,79.0,scattered clouds,-23.1203,-134.9692,People ThankYou
9,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Atuona,PF,78.91,few clouds,-9.8,-139.0333,Villa Enata
11,Mbandaka,CD,73.38,broken clouds,0.0487,18.2603,Guest House Epervier
14,Puerto Penasco,MX,70.92,clear sky,31.3167,-113.5333,Playa Bonita Resort
17,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
19,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
21,Dubbo,AU,73.53,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
22,Kavieng,PG,83.79,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
24,Hilo,US,75.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
27,Sola,VU,82.83,moderate rain,-13.8833,167.55,Leumerus Bungalows
29,Ahipara,NZ,75.25,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
32,Charters Towers,AU,81.57,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
34,Arraial Do Cabo,BR,76.14,clear sky,-22.9661,-42.0278,Pousada Porto Praia
35,Camocim,BR,78.73,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
37,Mareeba,AU,80.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
40,Feijo,BR,72.3,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
51,Monrovia,LR,79.86,overcast clouds,6.3005,-10.7969,Sunset Inn
56,Vaitape,PF,81.32,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
59,Butaritari,KI,82.58,light rain,3.0707,172.7902,Isles Sunset Lodge
61,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
63,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
68,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
69,East London,ZA,71.76,overcast clouds,-33.0153,27.9116,Tu Casa
76,Port Alfred,ZA,74.23,overcast clouds,-33.5906,26.891,The Halyards Hotel
80,La Libertad,EC,74.86,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
