City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tangwani,PK,28.2787,68.9972,53.53,38,79,11.99,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,63.9,93,91,3.22,overcast clouds
2,Tuatapere,NZ,-46.1333,167.6833,59.83,45,0,6.82,clear sky
3,Mataura,NZ,-46.1927,168.8643,59.49,36,21,1.88,few clouds
4,Bethel,US,41.3712,-73.414,27.64,75,0,3.44,clear sky
5,Yellowknife,CA,62.456,-114.3525,-1.68,84,75,4.61,light snow
6,Lasa,IT,46.6166,10.7002,44.06,86,100,5.79,light snow
7,Punta Arenas,CL,-53.15,-70.9167,51.91,87,75,6.91,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,79.0,71,45,19.26,scattered clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,73.54,92,15,3.0,few clouds
10,Atuona,PF,-9.8,-139.0333,78.91,74,12,18.68,few clouds
11,Mbandaka,CD,0.0487,18.2603,73.38,40,71,2.28,broken clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,12.66,broken clouds
13,Teya,RU,60.3778,92.6267,4.28,99,99,2.77,overcast clouds
14,Puerto Penasco,MX,31.3167,-113.5333,70.92,12,0,5.99,clear sky
15,Ventspils,LV,57.3894,21.5606,35.53,93,100,1.14,overcast clouds
16,Ribeira Grande,PT,38.5167,-28.7,61.21,84,11,13.78,few clouds
17,Vaini,TO,-21.2,-175.2,78.96,94,100,12.66,light rain
18,Bluff,NZ,-46.6,168.3333,59.81,63,0,12.57,clear sky
19,Sibu,MY,2.3,111.8167,77.31,88,40,5.75,scattered clouds
20,Pinawa,CA,50.1489,-95.8811,-8.86,100,93,2.75,overcast clouds
21,Dubbo,AU,-32.25,148.6167,73.53,49,100,17.27,overcast clouds
22,Kavieng,PG,-2.5744,150.7967,83.79,71,89,2.24,overcast clouds
23,Cheremukhovo,RU,60.3484,59.9851,3.65,98,100,4.12,overcast clouds
24,Hilo,US,19.7297,-155.09,75.25,89,80,1.99,broken clouds
25,Castro,BR,-24.7911,-50.0119,64.29,79,6,0.04,clear sky
26,Ust-Kuyga,RU,70.0167,135.6,-39.86,100,100,4.29,overcast clouds
27,Sola,VU,-13.8833,167.55,82.83,80,100,20.13,moderate rain
28,Praia,CV,14.9215,-23.5087,68.54,83,0,16.11,clear sky
